Day,Description,Temperature
Tonight,A clear sky and a gentle breeze,Low23° 73°
Thursday 21st OctoberThu 21st,Sunny intervals and a gentle breeze,High33° 92°Low23° 74°
Friday 22nd OctoberFri 22nd,Sunny intervals and a gentle breeze,High33° 91°Low23° 74°
Saturday 23rd OctoberSat 23rd,Sunny intervals and a gentle breeze,High32° 90°Low23° 74°
Sunday 24th OctoberSun 24th,Sunny intervals and a gentle breeze,High32° 89°Low23° 73°
Monday 25th OctoberMon 25th,Sunny intervals and a gentle breeze,High31° 88°Low23° 74°
Tuesday 26th OctoberTue 26th,Sunny intervals and a gentle breeze,High33° 91°Low25° 77°
Wednesday 27th OctoberWed 27th,Sunny intervals and a gentle breeze,High34° 92°Low25° 76°
Thursday 28th OctoberThu 28th,Sunny intervals and a gentle breeze,High34° 92°Low25° 77°
Friday 29th OctoberFri 29th,Sunny intervals and a gentle breeze,High34° 93°Low25° 77°
Saturday 30th OctoberSat 30th,Sunny intervals and a gentle breeze,High34° 93°Low24° 76°
Sunday 31st OctoberSun 31st,Sunny intervals and a gentle breeze,High34° 93°Low24° 76°
Monday 1st NovemberMon 1st,Sunny intervals and a gentle breeze,High34° 92°Low25° 76°
Tuesday 2nd NovemberTue 2nd,Light cloud and a gentle breeze,High33° 92°Low25° 76°
